구분,총 전력수요,,,,,,,,,,,,,,,,,,,,,,,
20160908,2820870 ,,,,,,,,,,,,,,,,,,,,,,,
20160909,2728010 ,,,,,,,,,,,,,,,,,,,,,,,
20160910,2790380 ,,,,,,,,,,,,,,,,,,,,,,,
20160911,2619190 ,,,,,,,,,,,,,,,,,,,,,,,
20160912,2768260 ,,,,,,,,,,,,,,,,,,,,,,,
20160913,2725770 ,,,,,,,,,,,,,,,,,,,,,,,
20160914,2411430 ,,,,,,,,,,,,,,,,,,,,,,,
20160915,2257320 ,,,,,,,,,,,,,,,,,,,,,,,
20160916,2206450 ,,,,,,,,,,,,,,,,,,,,,,,
20160917,2453450 ,,,,,,,,,,,,,,,,,,,,,,,
20160918,2515800 ,,,,,,,,,,,,,,,,,,,,,,,
20160919,2769760 ,,,,,,,,,,,,,,,,,,,,,,,
20160920,2790700 ,,,,,,,,,,,,,,,,,,,,,,,
20160921,2768140 ,,,,,,,,,,,,,,,,,,,,,,,
20160922,2625660 ,,,,,,,,,,,,,,,,,,,,,,,
20160923,2489470 ,,,,,,,,,,,,,,,,,,,,,,,
20160924,2604320 ,,,,,,,,,,,,,,,,,,,,,,,
20160925,2507630 ,,,,,,,,,,,,,,,,,,,,,,,
20160926,2345440 ,,,,,,,,,,,,,,,,,,,,,,,
20160927,2319150 ,,,,,,,,,,,,,,,,,,,,,,,
20160928,2339500 ,,,,,,,,,,,,,,,,,,,,,,,
20160929,2413890 ,,,,,,,,,,,,,,,,,,,,,,,
20160930,2461140 ,,,,,,,,,,,,,,,,,,,,,,,
20161001,2598200 ,,,,,,,,,,,,,,,,,,,,,,,
20161002,2517400 ,,,,,,,,,,,,,,,,,,,,,,,
20161003,2535080 ,,,,,,,,,,,,,,,,,,,,,,,
20161004,2644470 ,,,,,,,,,,,,,,,,,,,,,,,
20161005,2617770 ,,,,,,,,,,,,,,,,,,,,,,,
20161006,2563260 ,,,,,,,,,,,,,,,,,,,,,,,
20161007,2484230 ,,,,,,,,,,,,,,,,,,,,,,,
20161008,2502360 ,,,,,,,,,,,,,,,,,,,,,,,
20161009,2502330 ,,,,,,,,,,,,,,,,,,,,,,,
20161010,2645350 ,,,,,,,,,,,,,,,,,,,,,,,
20161011,2675380 ,,,,,,,,,,,,,,,,,,,,,,,
20161012,2667010 ,,,,,,,,,,,,,,,,,,,,,,,
20161013,2557310 ,,,,,,,,,,,,,,,,,,,,,,,
20161014,2446360 ,,,,,,,,,,,,,,,,,,,,,,,
20161015,2396510 ,,,,,,,,,,,,,,,,,,,,,,,
20161016,2429260 ,,,,,,,,,,,,,,,,,,,,,,,
20161017,2586950 ,,,,,,,,,,,,,,,,,,,,,,,
20161018,2650140 ,,,,,,,,,,,,,,,,,,,,,,,
20161019,2656070 ,,,,,,,,,,,,,,,,,,,,,,,
20161020,2520110 ,,,,,,,,,,,,,,,,,,,,,,,
