일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2019-08-28",KAU18,"29,700",0,"0.00","29,800","29,900","29,700","23,500","700,475,000","29,807"
"2019-08-28",KAU19,"29,600",100,"0.34","29,600","29,600","29,600","15,000","444,000,000","29,600"
"2019-08-28",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-28",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-28",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-08-27",KAU18,"29,700",100,"0.34","29,700","29,700","29,600","35,332","1,048,787,500","29,684"
"2019-08-27",KAU19,"29,500",-100,"-0.34","29,550","29,600","29,500","20,000","590,800,000","29,540"
"2019-08-27",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-27",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-27",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-08-26",KAU18,"29,600",100,"0.34","29,500","29,600","29,500","85,979","2,530,005,900","29,426"
"2019-08-26",KAU19,"29,600",300,"1.02","29,500","29,600","29,500","8,000","236,225,000","29,528"
"2019-08-26",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-26",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-26",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-08-23",KAU18,"29,500",50,"0.17","29,500","29,500","29,400","176,282","5,096,449,300","28,911"
"2019-08-23",KAU19,"29,300",100,"0.34","29,250","29,300","29,250","54,500","1,591,775,000","29,207"
"2019-08-23",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-23",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-23",KOC,"30,100",0,"0.00","0","0","0","33,410","1,005,641,000","30,100"
"2019-08-22",KAU18,"29,450",50,"0.17","29,100","29,500","29,100","31,850","938,617,000","29,470"
"2019-08-22",KAU19,"29,200",200,"0.69","29,200","29,200","29,200","3,500","102,200,000","29,200"
"2019-08-22",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-22",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-22",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-08-21",KAU18,"29,400",300,"1.03","29,400","29,400","29,100","13,344","390,813,600","29,288"
"2019-08-21",KAU19,"29,000",0,"0.00","29,100","29,100","29,000","6,500","189,000,000","29,077"
"2019-08-21",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-21",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-21",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-08-20",KAU18,"29,100",-800,"-2.68","29,000","29,100","29,000","15,705","456,609,600","29,074"
"2019-08-20",KAU19,"29,000",-800,"-2.68","29,700","29,800","29,000","6,500","192,200,000","29,569"
"2019-08-20",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-20",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-20",KOC,"30,100",0,"0.00","30,100","30,100","30,100","10,000","301,000,000","30,100"
"2019-08-19",KAU18,"29,900",0,"0.00","30,300","30,300","29,800","9,500","285,700,000","30,074"
"2019-08-19",KAU19,"29,800",200,"0.68","29,650","29,800","29,650","3,500","104,075,000","29,736"
"2019-08-19",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-19",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-19",KOC,"30,100",0,"0.00","30,100","30,100","30,100","75,000","2,257,500,000","30,100"
"2019-08-16",KAU18,"29,900",-600,"-1.97","31,000","31,000","29,900","6,500","199,850,000","30,746"
"2019-08-16",KAU19,"29,600",-600,"-1.99","30,200","30,200","29,600","3,500","104,800,000","29,943"
"2019-08-16",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-16",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-16",KOC,"30,100",0,"0.00","0","0","0","0","0","0"
"2019-08-14",KAU18,"30,500",500,"1.67","30,100","30,500","30,100","16,406","495,715,800","30,216"
"2019-08-14",KAU19,"30,200",1150,"3.96","30,200","30,200","30,200","3,000","90,600,000","30,200"
"2019-08-14",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-14",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-14",KOC,"30,100",1100,"3.79","30,000","30,100","30,000","20,000","601,000,000","30,050"
"2019-08-13",KAU18,"30,000",500,"1.69","30,000","30,000","30,000","35,724","1,071,720,000","30,000"
"2019-08-13",KAU19,"29,050",50,"0.17","29,050","29,050","29,050","1,500","43,575,000","29,050"
"2019-08-13",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-13",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-13",KOC,"29,000",0,"0.00","0","0","0","0","0","0"
"2019-08-12",KAU18,"29,500",700,"2.43","29,000","29,500","29,000","87,579","2,523,273,350","28,811"
"2019-08-12",KAU19,"29,000",250,"0.87","28,850","29,000","28,850","3,500","101,275,000","28,936"
"2019-08-12",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-12",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-12",KOC,"29,000",200,"0.69","29,000","29,000","29,000","5,000","145,000,000","29,000"
"2019-08-09",KAU18,"28,800",100,"0.35","28,750","28,800","28,750","81,688","2,344,367,300","28,699"
"2019-08-09",KAU19,"28,750",50,"0.17","28,750","28,750","28,750","3,500","100,625,000","28,750"
"2019-08-09",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-08-09",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-08-09",KOC,"28,800",150,"0.52","28,750","28,800","28,750","22,681","652,578,750","28,772"
"2019-08-08",KAU18,"28,700",50,"0.17","28,650","28,700","28,650","155,291","4,449,212,150","28,651"
"2019-08-08",KAU19,"28,700",50,"0.17","28,700","28,700","28,700","3,500","100,450,000","28,700"
"2019-08-08",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
